Total Matches: 110
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/template-builder.tsx | LINE: 617 | MATCHES: ['#fff'] | CONTENT: .ait-btn--primary { color: #fff; background: linear-gradient(135deg, #2563eb, #0891b2); box-shadow: 0 1px 3px rgba(37, 99, 235, .26); }
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/template-builder.tsx | LINE: 621 | MATCHES: ['hsl(142 60% 86%)', 'hsl(142 76% 96%)'] | CONTENT: .ait-btn--pinned { color: #16a34a; background: hsl(142 76% 96%); border-color: hsl(142 60% 86%); }
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/template-builder.tsx | LINE: 622 | MATCHES: ['hsl(142 76% 93%)'] | CONTENT: .ait-btn--pinned:hover:not(:disabled) { background: hsl(142 76% 93%); }
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/template-builder.tsx | LINE: 729 | MATCHES: ['text-slate-900'] | CONTENT: <ChevronRight size={16} className="text-slate-400 hover:text-slate-900" />
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/[id]/page.tsx | LINE: 34 | MATCHES: ['bg-slate-50'] | CONTENT: <div className="min-h-screen bg-slate-50 flex flex-col">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/[id]/page.tsx | LINE: 36 | MATCHES: ['border-slate-200', 'bg-white'] | CONTENT: <header className="border-b border-slate-200 bg-white h-14 px-6 flex items-center justify-between sticky top-0 z-30 shadow-sm">
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/ai-templates/[id]/page.tsx | LINE: 39 | MATCHES: ['text-slate-900'] | CONTENT: className="flex items-center gap-2 text-sm font-semibold text-slate-600 hover:text-slate-900 transition-colors"
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 283 | MATCHES: ['hsl(0 80% 96%)'] | CONTENT: <button type="button" onClick={() => { onDelete(initialTask.id); onClose(); }} style={{ width: 32, height: 32, borderRadius: 8, border: "none", background: "transparent", color: "hsl(222 10% 60%)", display: "flex", alignItems: "center", justifyContent: "center", cursor: "pointer", transition: "all 150ms" }} onMouseEnter={e => { e.currentTarget.style.color = "#dc2626"; e.currentTarget.style.background = "hsl(0 80% 96%)"; }} onMouseLeave={e => { e.currentTarget.style.color = "hsl(222 10% 60%)"; e.currentTarget.style.background = "transparent"; }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 287 | MATCHES: ['hsl(214 30% 90%)', 'hsl(214 24% 94%)'] | CONTENT: <button onClick={onClose} style={{ width: 32, height: 32, borderRadius: 8, border: "none", background: "var(--background)", color: "var(--muted-foreground)", display: "flex", alignItems: "center", justifyContent: "center", cursor: "pointer", transition: "all 150ms" }} onMouseEnter={e => e.currentTarget.style.background = "hsl(214 30% 90%)"} onMouseLeave={e => e.currentTarget.style.background = "hsl(214 24% 94%)"}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 309 | MATCHES: ['#fff'] | CONTENT: <button key={t} type="button" onClick={() => setType(t)} style={{ padding: "6px 16px", borderRadius: 6, border: "none", background: type === t ? "#fff" : "transparent", color: type === t ? "hsl(222 22% 14%)" : "hsl(222 12% 50%)", fontFamily: "var(--font-sans)", fontSize: "0.8rem", fontWeight: 600, cursor: "pointer", boxShadow: type === t ? "0 1px 4px rgba(0,0,0,0.1)" : "none", display: "flex", alignItems: "center", gap: 6, transition: "all 150ms" }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 322 | MATCHES: ['#fff'] | CONTENT: onFocus={(e) => { e.currentTarget.style.borderColor = "#2563eb"; e.currentTarget.style.background = "#fff"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 323 | MATCHES: ['hsl(216 20% 98%)'] | CONTENT: onBlur={(e) => { e.currentTarget.style.borderColor = "var(--border)"; e.currentTarget.style.background = "hsl(216 20% 98%)"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 329 | MATCHES: ['hsl(214 20% 94%)', 'hsl(216 20% 98%)'] | CONTENT: style={{ width: "100%", padding: "10px 14px", border: "1px solid var(--border)", borderRadius: 10, fontFamily: "var(--font-sans)", fontSize: "0.85rem", color: "var(--foreground)", background: dateStr ? "hsl(216 20% 98%)" : "hsl(214 20% 94%)", outline: "none", boxSizing: "border-box", cursor: dateStr ? "pointer" : "not-allowed", opacity: dateStr ? 1 : 0.6 }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 330 | MATCHES: ['#fff'] | CONTENT: onFocus={(e) => { if (dateStr) { e.currentTarget.style.borderColor = "#2563eb"; e.currentTarget.style.background = "#fff"; } }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 331 | MATCHES: ['hsl(216 20% 98%)'] | CONTENT: onBlur={(e) => { e.currentTarget.style.borderColor = "var(--border)"; e.currentTarget.style.background = "hsl(216 20% 98%)"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 345 | MATCHES: ['hsl(214 24% 96%)'] | CONTENT: style={{ display: "flex", alignItems: "center", gap: 8, padding: "8px 12px", borderRadius: 10, border: sel ? `2px solid ${cat.color}` : "2px solid transparent", background: sel ? cat.bg : "hsl(214 24% 96%)", cursor: "pointer", fontFamily: "var(--font-sans)", fontSize: "0.8rem", fontWeight: 600, color: sel ? cat.color : "hsl(222 14% 36%)", transition: "all 150ms" }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 346 | MATCHES: ['hsl(214 24% 92%)'] | CONTENT: onMouseEnter={e => { if (!sel) e.currentTarget.style.background = "hsl(214 24% 92%)"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 347 | MATCHES: ['hsl(214 24% 96%)'] | CONTENT: onMouseLeave={e => { if (!sel) e.currentTarget.style.background = "hsl(214 24% 96%)"; }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 364 | MATCHES: ['hsl(214 20% 90%)'] | CONTENT: <div style={{ display: "flex", flexDirection: "column", gap: 20, paddingTop: 8, borderTop: "1px dashed hsl(214 20% 90%)", animation: "cal-fade-in 200ms ease-out" }}>
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 374 | MATCHES: ['hsl(214 20% 92%)'] | CONTENT: style={{ display: "flex", alignItems: "center", gap: 6, padding: "6px 12px", borderRadius: 8, border: sel ? `2px solid ${pri.color}` : "2px solid hsl(214 20% 92%)", background: sel ? `${pri.color}15` : "transparent", cursor: "pointer", fontFamily: "var(--font-sans)", fontSize: "0.75rem", fontWeight: 600, color: sel ? pri.color : "hsl(222 14% 36%)", transition: "all 150ms" }}
FILE: c:/Users/soham/OneDrive/Desktop/everyday tracker/everyday-tracker/app/dashboard/calendar/page.tsx | LINE: 390 | MATCHES: ['#fff'] | CONTENT: style={{ padding: "6px 12px", borderRadius: 8, border: "1px solid var(--border)", background: duration === dur ? "#2563eb" : "#fff", color: duration === dur ? "#fff" : "hsl(222 14% 36%)", fontSize: "0.75rem", fontWeight: 600, cursor: "pointer" }}
